"time","transferFunction.y","mass.s"
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,0,0
1.98,0,0
1.99,0,0
2,0,0
2,0,0
2,0,0
2.01,0.007428020285849324,0.007428020285849823
2.02,0.02935018396906015,0.02935018396906112
2.03,0.06506378370900377,0.0650637837090052
2.04,0.1136664112166399,0.1136664112166417
2.05,0.1740752586155201,0.1740752586155225
2.06,0.2450487919458076,0.2450487919458063
2.07,0.3252091289144789,0.3252091289144762
2.08,0.4130684028354488,0.413068402835453
2.09,0.5070549989123673,0.5070549989123717
2.1,0.6055387673571847,0.6055387673571936
2.11,0.7068593906658885,0.7068593906659004
2.12,0.8093529127800123,0.8093529127800226
2.13,0.9113779313732173,0.9113779313732275
2.14,1.011341028518246,1.011341028518258
2.15,1.107720607684347,1.10772060768436
2.16,1.199088966653459,1.199088966653473
2.17,1.284132463510558,1.284132463510572
2.18,1.361669422706141,1.361669422706155
2.19,1.430665437727025,1.430665437727039
2.2,1.490246000917631,1.490246000917645
2.21,1.539706286203608,1.539706286203622
2.22,1.578518078651146,1.578518078651159
2.23,1.606333752525742,1.606333752525755
2.24,1.622987236559569,1.622987236559582
2.25,1.628492156870831,1.628492156870844
2.26,1.623037378447222,1.623037378447235
2.27,1.60697902235292,1.606979022352932
2.28,1.580831531895645,1.580831531895656
2.29,1.545255398980215,1.545255398980225
2.3,1.501043048015774,1.501043048015783
2.31,1.44910323907234,1.449103239072348
2.32,1.390443778292238,1.390443778292242
2.33,1.326153432469393,1.32615343246939
2.34,1.257382744964275,1.257382744964269
2.35,1.185324186263736,1.185324186263729
2.36,1.111192467875744,1.111192467875735
2.37,1.036204777199648,1.036204777199636
2.38,0.9615619817064399,0.9615619817064255
2.39,0.8884300132031966,0.8884300132031818
2.4,0.8179212368513589,0.817921236851332
2.41,0.7510806659475124,0.7510806659474719
2.42,0.6888697311009155,0.6888697311008708
2.43,0.6321526099719357,0.6321526099718936
2.44,0.5816855606954215,0.581685560695385
2.45,0.538108440236633,0.5381084402366183
2.46,0.5019363109188247,0.5019363109188233
2.47,0.4735553482057963,0.4735553482057953
2.48,0.4532193980661062,0.4532193980660944
2.49,0.4410503316993548,0.4410503316993392
2.5,0.4370380663941171,0.4370380663941124
2.51,0.4410440604612286,0.4410440604612323
2.52,0.4528070143283973,0.4528070143283996
2.53,0.4719507256947847,0.4719507256947882
2.54,0.4979919341311525,0.4979919341311627
2.55,0.5303504703206436,0.5303504703206604
2.56,0.568360767341901,0.5683607673419013
2.57,0.6112857331622307,0.6112857331622102
2.58,0.6583293108218892,0.6583293108218686
2.59,0.7086492326645764,0.7086492326645499
2.6,0.761373056789969,0.7613730567899374
2.61,0.8156121606857966,0.8156121606857683
2.62,0.8704758988396047,0.8704758988395852
2.63,0.9250856033120874,0.9250856033120751
2.64,0.9785884355999891,0.9785884355999821
2.65,1.030170220511573,1.030170220511574
2.66,1.079066163877462,1.079066163877463
2.67,1.12457416692806,1.124574166928066
2.68,1.166062283307899,1.166062283307918
2.69,1.202977401881633,1.202977401881668
2.7,1.234850925149676,1.234850925149722
2.71,1.261305449996373,1.261305449996423
2.72,1.282059323849454,1.282059323849508
2.73,1.296926640942216,1.296926640942271
2.74,1.305818487083923,1.305818487083977
2.75,1.308742919739605,1.308742919739657
2.76,1.305801411557902,1.305801411557951
2.77,1.297184836322185,1.297184836322229
2.78,1.283168717183606,1.283168717183645
2.79,1.264107103531375,1.26410710353141
2.8,1.240424477094238,1.240424477094267
2.81,1.212607636656895,1.212607636656917
2.82,1.181196001934362,1.181196001934376
2.83,1.146772352633632,1.14677235263364
2.84,1.109952672085673,1.109952672085677
2.85,1.071375502463849,1.071375502463847
2.86,1.031691084802623,1.031691084802614
2.87,0.9915509693654031,0.9915509693653891
2.88,0.9515977779905976,0.9515977779905789
2.89,0.9124555289699786,0.9124555289699562
2.9,0.8747200050606621,0.8747200050606355
2.91,0.8389500724289095,0.8389500724288798
2.92,0.8056597530307571,0.8056597530307245
2.93,0.7753116856681546,0.7753116856681197
2.94,0.7483106754536281,0.748310675453592
2.95,0.7249987768289508,0.7249987768289138
2.96,0.7056517654708985,0.7056517654708613
2.97,0.6904758106765108,0.6904758106764739
2.98,0.6796067029907986,0.6796067029907618
2.99,0.6731089863254646,0.6731089863254277
3,0.6709773542584183,0.6709773542583819
3.01,0.673137358994226,0.6731373589941909
3.02,0.6794489795365986,0.6794489795365654
3.03,0.6897105454684267,0.6897105454683955
3.04,0.7036630418303921,0.7036630418303635
3.05,0.7209958410780678,0.7209958410780419
3.06,0.7413528332074768,0.7413528332074534
3.07,0.7643390970377519,0.7643390970377317
3.08,0.7895281118830069,0.7895281118829893
3.09,0.8164692364581924,0.8164692364581785
3.1,0.8446953889779544,0.8446953889779432
3.11,0.8737308071262256,0.8737308071262174
3.12,0.9030987437929419,0.9030987437929364
3.13,0.9323289918468937,0.9323289918468914
3.14,0.9609651198607482,0.9609651198607484
3.15,0.9885713116327407,0.9885713116327431
3.16,1.014738713603661,1.014738713603666
3.17,1.03909120209781,1.039091202097817
3.18,1.06129048997181,1.061290489971818
3.19,1.081040515007306,1.081040515007316
3.2,1.098091002342385,1.098091002342396
3.21,1.112240321561377,1.112240321561389
3.22,1.123337578970391,1.123337578970403
3.23,1.131283525398434,1.131283525398447
3.24,1.136031051468008,1.136031051468021
3.25,1.137584529105102,1.137584529105115
3.26,1.135998454063951,1.135998454063964
3.27,1.131375205706651,1.131375205706662
3.28,1.123862292419988,1.123862292419999
3.29,1.113649372434601,1.113649372434611
3.3,1.100963600930662,1.100963600930672
3.31,1.086065737485483,1.086065737485491
3.32,1.069244750010721,1.069244750010728
3.33,1.05081273557075,1.050812735570757
3.34,1.03109949231912,1.031099492319125
3.35,1.010446893733981,1.010446893733986
3.36,0.9892029949606976,0.9892029949607025
3.37,0.9677164832127286,0.9677164832127327
3.38,0.946331368431506,0.9463313684315089
3.39,0.925381573265516,0.925381573265518
3.4,0.9051859214767274,0.9051859214767283
3.41,0.8860437722497332,0.8860437722497339
3.42,0.8682297025802884,0.8682297025802889
3.43,0.8519912317886286,0.8519912317886291
3.44,0.8375453264611791,0.8375453264611799
3.45,0.8250747307405494,0.8250747307405509
3.46,0.8147267105079763,0.8147267105079785
3.47,0.8066118524314989,0.8066118524315016
3.48,0.8008027179174031,0.8008027179174072
3.49,0.7973335797507988,0.7973335797508039
3.5,0.7962013382833162,0.7962013382833225
3.51,0.7973660271673348,0.7973660271673418
3.52,0.8007526255460133,0.8007526255460212
3.53,0.8062531899742897,0.8062531899742982
3.54,0.8137287958860975,0.8137287958861065
3.55,0.8230131901996636,0.8230131901996732
3.56,0.833915600775897,0.8339156007759068
3.57,0.8462246355499113,0.8462246355499214
3.58,0.85971196104596,0.8597119610459704
3.59,0.8741361593209283,0.8741361593209388
3.6,0.8892471801177148,0.8892471801177252
3.61,0.9047904216626788,0.904790421662689
3.62,0.9205107111269066,0.9205107111269161
3.63,0.936156350041139,0.9361563500411478
3.64,0.9514830534793483,0.9514830534793565
3.65,0.9662575920581697,0.9662575920581769
3.66,0.9802611803293146,0.9802611803293212
3.67,0.9932925577598256,0.9932925577598306
3.68,1.005170723085202,1.005170723085207
3.69,1.015737290989601,1.015737290989604
3.7,1.024858421557928,1.02485842155793
3.71,1.032426316332747,1.032426316332748
3.72,1.038360273604036,1.038360273604035
3.73,1.042607280804319,1.042607280804316
3.74,1.045142181941352,1.045142181941348
3.75,1.04596737310259,1.045967373102585
3.76,1.04511209195167,1.045112091951664
3.77,1.042631288721914,1.042631288721907
3.78,1.038604104216759,1.038604104216752
3.79,1.033132075759134,1.033132075759126
3.8,1.02633696878544,1.026336968785431
3.81,1.018358346812463,1.018358346812454
3.82,1.009350942330973,1.009350942330964
3.83,0.9994818552173576,0.9994818552173491
3.84,0.9889276158319421,0.9889276158319334
3.85,0.9778711731418063,0.9778711731417979
3.86,0.966498858753485,0.9664988587534772
3.87,0.954997373414358,0.9549973734143508
3.88,0.9435508403997799,0.9435508403997735
3.89,0.9323379718707707,0.9323379718707648
3.9,0.921529392201669,0.9215293922016641
3.91,0.911285152172803,0.9112851521727992
3.92,0.9017524742484463,0.9017524742484435
3.93,0.8930637505168122,0.8930637505168103
3.94,0.8853348295636545,0.8853348295636536
3.95,0.8786635985137706,0.8786635985137707
3.96,0.8731288911646891,0.8731288911646902
3.97,0.8687897145021176,0.8687897145021196
3.98,0.8656848622323442,0.8656848622323473
3.99,0.8638327339534617,0.8638327339534655
4,0.8632313758271186,0.8632313758271234
4.01,0.8638593346220502,0.8638593346220558
4.02,0.8656765237141545,0.8656765237141606
4.03,0.8686249340264122,0.8686249340264188
4.04,0.8726303165047693,0.8726303165047764
4.05,0.8776035250755414,0.8776035250755487
4.06,0.8834424380620828,0.8834424380620898
4.07,0.8900338650085196,0.8900338650085248
4.08,0.8972554027639005,0.8972554027639047
4.09,0.9049779939278163,0.9049779939278191
4.1,0.9130677644974986,0.9130677644974997
4.11,0.9213883726658237,0.9213883726658233
4.12,0.9298032282323918,0.9298032282323914
4.13,0.9381776771208455,0.9381776771208366
4.14,0.9463809136421998,0.9463809136421811
4.15,0.9542881015548931,0.9542881015548705
4.16,0.9617822064313212,0.9617822064312935
4.17,0.9687555120420667,0.9687555120420367
4.18,0.9751111891172898,0.9751111891172579
4.19,0.9807645196725167,0.9807645196724647
4.2,0.9856438743992425,0.9856438743991788
4.21,0.9896916150805848,0.9896916150805183
4.22,0.9928646093640853,0.9928646093640118
4.23,0.995134531519875,0.9951345315197956
4.24,0.9964879663422467,0.996487966342165
4.25,0.9969262549811359,0.9969262549810523
4.26,0.996465100751433,0.9964651007513494
4.27,0.9951339638071197,0.995133963807037
4.28,0.9929752641665227,0.9929752641664427
4.29,0.990043394976161,0.990043394976085
4.3,0.9864035681440156,0.9864035681439445
4.31,0.9821305228974497,0.9821305228973843
4.32,0.9773071143895012,0.9773071143894431
4.33,0.9720228098031788,0.9720228098031279
4.34,0.9663721179420932,0.9663721179420504
4.35,0.9604529780515705,0.9604529780515363
4.36,0.9543651341404729,0.9543651341404473
4.37,0.9482085214984646,0.948208521498448
4.38,0.9420816898914843,0.9420816898914769
4.39,0.9360802872873561,0.9360802872873577
4.4,0.9302956268863759,0.9302956268863859
4.41,0.9248133577782813,0.9248133577782994
4.42,0.919712257367455,0.9197122573674811
4.43,0.9150631712670141,0.9150631712670469
4.44,0.9109280848574538,0.9109280848574932
4.45,0.9073593364267013,0.9073593364267465
4.46,0.9043990802744473,0.9043990802744973
4.47,0.9020788674980513,0.9020788674981052
4.48,0.90041940005503,0.9004194000550869
4.49,0.8994304676736475,0.8994304676737064
4.5,0.8991110663589802,0.8991110663590404
4.51,0.8994496716439486,0.8994496716440089
4.52,0.9004247347397952,0.9004247347398546
4.53,0.902005208430902,0.9020052084309597
4.54,0.9041512721221474,0.9041512721222024
4.55,0.9068151972551277,0.9068151972551791
4.56,0.9099422960589603,0.9099422960590076
4.57,0.9134719267802119,0.9134719267802545
4.58,0.9173386395417896,0.9173386395418267
4.59,0.9214732880566215,0.9214732880566527
4.6,0.9258042064164722,0.9258042064164976
4.61,0.9302584096387027,0.9302584096387214
4.62,0.9347627851039808,0.934762785103993
4.63,0.9392452365188777,0.9392452365188833
4.64,0.9436357904890132,0.9436357904890122
4.65,0.9478676453010294,0.947867645301022
4.66,0.9518781464944301,0.9518781464944168
4.67,0.9556096697474243,0.9556096697474052
4.68,0.9590104022438576,0.9590104022438332
4.69,0.9620350126942546,0.9620350126942255
4.7,0.9646452062860369,0.9646452062860035
4.71,0.9668101541738955,0.9668101541738586
4.72,0.9685067927573215,0.9685067927572819
4.73,0.9697199950753896,0.9697199950753478
4.74,0.9704426114810457,0.9704426114810026
4.75,0.9706753881292941,0.9706753881292499
4.76,0.9704267698562802,0.9704267698562359
4.77,0.9697125394749688,0.9697125394749252
4.78,0.9685554238471838,0.9685554238471414
4.79,0.9669845662549644,0.9669845662549239
4.8,0.9650348964793513,0.9650348964793132
4.81,0.9627464357884399,0.9627464357884048
4.82,0.9601635584004469,0.9601635584004152
4.83,0.9573341563336928,0.957334156333665
4.84,0.9543088211645294,0.9543088211645059
4.85,0.9511399879861858,0.9511399879861672
4.86,0.9478810551038176,0.9478810551038037
4.87,0.9445855145532399,0.9445855145532305
4.88,0.9413061115886576,0.941306111588653
4.89,0.9380940362949435,0.9380940362949437
4.9,0.9349981574215226,0.9349981574215275
4.91,0.9320643091825089,0.9320643091825186
4.92,0.9293346435884646,0.9293346435884786
4.93,0.9268470599612365,0.9268470599612543
4.94,0.9246347138147123,0.9246347138147336
4.95,0.9227256125519282,0.9227256125519528
4.96,0.9211423024432769,0.9211423024433042
4.97,0.9199016461924389,0.9199016461924686
4.98,0.9190147003288708,0.9190147003289019
4.99,0.9184866840407768,0.918486684040809
5,0.9183170411526863,0.9183170411527191
5.01,0.91849958217657,0.9184995821766029
5.02,0.9190227525839531,0.9190227525839857
5.03,0.9198699103472533,0.919869910347285
5.04,0.9210197292342448,0.9210197292342748
5.05,0.9224466505986278,0.9224466505986558
5.06,0.9241213825885495,0.924121382588575
5.07,0.9260114599666698,0.926011459966692
5.08,0.928081832118243,0.9280818321182617
5.09,0.9302954782267187,0.9302954782267334
5.1,0.9326140372702428,0.9326140372702533
5.11,0.9349984445753179,0.9349984445753236
5.12,0.9374095645021098,0.9374095645021109
5.13,0.9398088072887186,0.9398088072887149
5.14,0.9421587230611225,0.9421587230611137
5.15,0.9444235626283565,0.9444235626283433
5.16,0.9465697971134792,0.9465697971134615
5.17,0.9485665921560058,0.9485665921559838
5.18,0.9503862255750799,0.9503862255750539
5.19,0.9520044457679833,0.9520044457679542
5.2,0.9534007692024263,0.9534007692023942
5.21,0.9545587089917875,0.9545587089917528
5.22,0.9554659346596704,0.9554659346596336
5.23,0.9561143639350551,0.9561143639350171
5.24,0.9565001828371051,0.9565001828370666
5.25,0.9566238100820635,0.9566238100820245
5.26,0.9564897845042737,0.9564897845042348
5.27,0.9561065655649947,0.9561065655649565
5.28,0.9554863306088301,0.9554863306087933
5.29,0.9546446932822021,0.9546446932821671
5.3,0.9536003605048001,0.9536003605047673
5.31,0.9523747643347226,0.9523747643346921
5.32,0.9509916605262237,0.9509916605261964
5.33,0.9494766968037027,0.9494766968036786
5.34,0.9478569608560987,0.9478569608560776
5.35,0.9461605200807125,0.9461605200806951
5.36,0.9444159557548429,0.944415955754829
5.37,0.9426519004178996,0.9426519004178895
5.38,0.940896586136203,0.9408965861361965
5.39,0.9391774106952979,0.9391774106952949
5.4,0.9375205265550225,0.9375205265550229
5.41,0.9359504609774415,0.9359504609774451
5.42,0.9344897694248785,0.934489769424885
5.43,0.9331587300935557,0.9331587300935649
5.44,0.9319750809825094,0.931975080982521
5.45,0.9309538031178828,0.9309538031178969
5.46,0.9301069539318337,0.9301069539318496
5.47,0.9294435483856763,0.9294435483856938
5.48,0.9289695013067026,0.9289695013067216
5.49,0.9286876047906428,0.9286876047906627
5.5,0.9285975178446915,0.928597517844712
5.51,0.9286959212269533,0.9286959212269744
5.52,0.9289766296335991,0.92897662963362
5.53,0.9294307191384009,0.9294307191384215
5.54,0.930046777085263,0.9300467770852829
5.55,0.930811106024279,0.9308111060242984
5.56,0.9317080190920021,0.9317080190920204
5.57,0.9327201354814155,0.9327201354814325
5.58,0.9338286890717417,0.9338286890717571
5.59,0.9350138588386042,0.9350138588386179
5.6,0.9362551090381284,0.9362551090381401
5.61,0.937531528764332,0.9375315287643415
5.62,0.9388221696969915,0.9388221696969992
5.63,0.9401063772139577,0.940106377213963
5.64,0.9413641078110742,0.9413641078110772
5.65,0.9425762295257621,0.9425762295257629
5.66,0.943724800090988,0.9437248000909866
5.67,0.9447933200197591,0.9447933200197556
5.68,0.9457669566609174,0.9457669566609118
5.69,0.9466327359030161,0.9466327359030087
5.7,0.9473797011597654,0.9473797011597561
5.71,0.9479990349230263,0.9479990349230157
5.72,0.9484841457890757,0.9484841457890639
5.73,0.9488307111968737,0.9488307111968608
5.74,0.9490366923125085,0.9490366923124949
5.75,0.949102341339648,0.9491023413396336
5.76,0.9490300922549924,0.9490300922549777
5.77,0.9488244738943431,0.9488244738943286
5.78,0.9484920187639343,0.94849201876392
5.79,0.9480410802270206,0.9480410802270069
5.8,0.9474816825878861,0.9474816825878729
